time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 17:29:03+02:00,0.133,0.066,,,
2025-06-05 17:29:05+02:00,0.107,0.066,,72.0,
2025-06-05 17:29:08+02:00,0.107,0.066,,,
2025-06-05 17:29:10+02:00,0.097,0.066,,,
2025-06-05 17:29:11+02:00,,,,69.0,
2025-06-05 17:29:13+02:00,0.097,0.066,,68.0,4.5
2025-06-05 17:29:16+02:00,0.077,0.066,,,
2025-06-05 17:29:17+02:00,,,,67.0,
2025-06-05 17:29:18+02:00,0.077,0.066,,,
2025-06-05 17:29:21+02:00,0.097,0.066,,,
2025-06-05 17:29:22+02:00,,,,66.0,
2025-06-05 17:29:23+02:00,0.097,0.066,,,
2025-06-05 17:29:26+02:00,0.097,0.066,,,
2025-06-05 17:29:28+02:00,0.077,0.066,,,
2025-06-05 17:29:31+02:00,0.077,0.066,,72.0,
2025-06-05 17:29:33+02:00,0.077,0.066,,74.0,6.5
2025-06-05 17:29:36+02:00,0.18,0.066,,,
2025-06-05 17:29:39+02:00,0.18,0.066,,79.0,
2025-06-05 17:29:41+02:00,0.18,0.066,,,
2025-06-05 17:29:43+02:00,,,,79.0,
2025-06-05 17:29:44+02:00,0.18,0.066,,,1.6
2025-06-05 17:29:46+02:00,0.041,0.066,,,
2025-06-05 17:29:48+02:00,,,,71.0,
2025-06-05 17:29:49+02:00,0.041,0.066,,,
2025-06-05 17:29:51+02:00,0.041,0.066,,,
2025-06-05 17:29:54+02:00,0.041,0.066,,,
2025-06-05 17:29:55+02:00,,,,64.0,
2025-06-05 17:29:57+02:00,0.041,0.066,,,
2025-06-05 17:29:59+02:00,0.041,0.066,,,
2025-06-05 17:30:01+02:00,,,,60.0,
2025-06-05 17:30:02+02:00,0.041,0.066,,,
2025-06-05 17:30:04+02:00,0.041,0.066,,,
2025-06-05 17:30:06+02:00,,,,57.0,
2025-06-05 17:30:07+02:00,0.041,0.066,,,
2025-06-05 17:30:09+02:00,0.041,0.066,,,
2025-06-05 17:30:11+02:00,,,,57.0,
2025-06-05 17:30:12+02:00,0.041,0.066,,57.0,
2025-06-05 17:30:14+02:00,0.041,0.066,,,
2025-06-05 17:30:17+02:00,0.041,0.066,,,
2025-06-05 17:30:20+02:00,0.041,0.066,,56.0,
2025-06-05 17:30:22+02:00,0.041,0.066,,,
2025-06-05 17:30:25+02:00,0.041,0.066,,,
2025-06-05 17:30:26+02:00,,,,55.0,
2025-06-05 17:30:27+02:00,0.041,0.066,,,
2025-06-05 17:30:30+02:00,0.041,0.066,,,
2025-06-05 17:30:31+02:00,,,,54.0,
2025-06-05 17:30:32+02:00,0.041,0.066,,,
2025-06-05 17:30:33+02:00,,,,54.0,
2025-06-05 17:30:35+02:00,0.041,0.066,,,
2025-06-05 17:30:38+02:00,0.041,0.066,,,
2025-06-05 17:30:39+02:00,,,,55.0,
2025-06-05 17:30:40+02:00,0.041,0.066,,,
2025-06-05 17:30:42+02:00,,,,56.0,
2025-06-05 17:30:43+02:00,0.041,0.066,,,
2025-06-05 17:30:45+02:00,0.041,0.066,,,
2025-06-05 17:30:48+02:00,0.041,0.066,,,
2025-06-05 17:30:49+02:00,,,,55.0,
2025-06-05 17:30:50+02:00,0.041,0.066,,,
2025-06-05 17:30:53+02:00,0.041,0.066,,,
2025-06-05 17:30:55+02:00,0.041,0.066,,55.0,
2025-06-05 17:30:57+02:00,,,,55.0,
2025-06-05 17:30:58+02:00,0.041,0.066,,,
2025-06-05 17:31:01+02:00,0.041,0.066,,,
2025-06-05 17:31:03+02:00,0.041,0.066,,,
2025-06-05 17:31:05+02:00,,,,55.0,
2025-06-05 17:31:06+02:00,0.041,0.066,,,
2025-06-05 17:31:08+02:00,0.041,0.066,,54.0,
2025-06-05 17:31:11+02:00,0.041,0.066,,,
2025-06-05 17:31:12+02:00,,,,55.0,
2025-06-05 17:31:13+02:00,0.041,0.066,,,
2025-06-05 17:31:16+02:00,0.041,0.066,,,
2025-06-05 17:31:19+02:00,0.041,0.066,,,
2025-06-05 17:31:21+02:00,0.041,0.066,,58.0,
2025-06-05 17:31:24+02:00,0.041,0.066,,,
2025-06-05 17:31:25+02:00,,,,58.0,
2025-06-05 17:31:26+02:00,0.041,0.066,,,
2025-06-05 17:31:29+02:00,0.041,0.066,,,
2025-06-05 17:31:30+02:00,,,,59.0,
2025-06-05 17:31:31+02:00,0.041,0.066,,,
2025-06-05 17:31:32+02:00,,,,60.0,
2025-06-05 17:31:34+02:00,0.041,0.066,,,
2025-06-05 17:31:36+02:00,0.041,0.066,,,
2025-06-05 17:31:39+02:00,0.041,0.066,,57.0,
2025-06-05 17:31:42+02:00,0.041,0.066,,,
2025-06-05 17:31:43+02:00,,,,57.0,
2025-06-05 17:31:44+02:00,0.041,0.066,,,
2025-06-05 17:31:47+02:00,0.041,0.066,,,
2025-06-05 17:31:48+02:00,,,,57.0,
2025-06-05 17:31:49+02:00,0.041,0.066,,,
2025-06-05 17:31:52+02:00,0.041,0.066,,,
2025-06-05 17:31:54+02:00,0.041,0.066,,,
2025-06-05 17:31:55+02:00,,,,55.0,
2025-06-05 17:31:57+02:00,0.041,0.066,,,
2025-06-05 17:31:58+02:00,,,,55.0,
2025-06-05 17:32:00+02:00,0.041,0.066,,,
2025-06-05 17:32:02+02:00,0.041,0.066,,,
2025-06-05 17:32:05+02:00,0.041,0.066,,,4.0
2025-06-05 17:32:06+02:00,,,,57.0,
2025-06-05 17:32:07+02:00,0.077,0.066,,,
2025-06-05 17:32:10+02:00,0.077,0.066,,,
2025-06-05 17:32:11+02:00,,,,56.0,
2025-06-05 17:32:12+02:00,0.077,0.066,,55.0,
2025-06-05 17:32:15+02:00,0.077,0.066,,,6.3
2025-06-05 17:32:17+02:00,0.104,0.066,,,
2025-06-05 17:32:20+02:00,0.104,0.066,,,
2025-06-05 17:32:21+02:00,,,,61.0,
2025-06-05 17:32:23+02:00,0.104,0.066,,,
2025-06-05 17:32:25+02:00,0.099,0.066,,,
2025-06-05 17:32:26+02:00,,,,60.0,
2025-06-05 17:32:28+02:00,0.099,0.066,,,
2025-06-05 17:32:30+02:00,0.087,0.066,,,
2025-06-05 17:32:31+02:00,,,,57.0,
2025-06-05 17:32:33+02:00,0.087,0.066,,,
2025-06-05 17:32:35+02:00,0.087,0.066,,,
2025-06-05 17:32:36+02:00,,,,57.0,
2025-06-05 17:32:37+02:00,,,,57.0,
2025-06-05 17:32:38+02:00,0.087,0.066,,,
2025-06-05 17:32:40+02:00,0.087,0.066,,,
2025-06-05 17:32:43+02:00,0.082,0.066,,,
2025-06-05 17:32:45+02:00,,,,56.0,
2025-06-05 17:32:46+02:00,0.082,0.066,,,
2025-06-05 17:32:48+02:00,0.082,0.066,,,
2025-06-05 17:32:51+02:00,0.082,0.066,,56.0,
2025-06-05 17:32:53+02:00,0.082,0.066,,,
2025-06-05 17:32:55+02:00,,,,55.0,
2025-06-05 17:32:56+02:00,0.087,0.066,,,
2025-06-05 17:32:58+02:00,0.087,0.066,,,
